community_id,n_nodes_fixed,n_vertices_fixed,n_edges_fixed,is_connected_fixed,diameter_fixed,n_nodes_orig,n_vertices_orig,n_edges_orig,is_connected_orig,diameter_orig,diameter_diff
591,2,2,1,TRUE,1,2,2,0,FALSE,,
592,2,2,1,TRUE,1,2,2,0,FALSE,,
593,2,2,1,TRUE,1,2,2,0,FALSE,,
594,2,2,1,TRUE,1,2,2,0,FALSE,,
595,3,3,2,TRUE,2,3,3,0,FALSE,,
596,4,4,3,TRUE,3,4,4,0,FALSE,,
597,3,3,2,TRUE,2,3,3,0,FALSE,,
598,3,3,2,TRUE,2,3,3,0,FALSE,,
599,3,3,2,TRUE,2,3,3,0,FALSE,,
600,3,3,2,TRUE,2,3,3,0,FALSE,,
601,3,3,2,TRUE,2,3,3,0,FALSE,,
602,2,2,1,TRUE,1,2,2,0,FALSE,,
603,2,2,1,TRUE,1,2,2,0,FALSE,,
604,2,2,1,TRUE,1,2,2,0,FALSE,,
605,2,2,1,TRUE,1,2,2,0,FALSE,,
606,2,2,1,TRUE,1,2,2,0,FALSE,,
607,2,2,1,TRUE,1,2,2,0,FALSE,,
608,2,2,1,TRUE,1,2,2,0,FALSE,,
609,2,2,1,TRUE,1,2,2,0,FALSE,,
610,2,2,1,TRUE,1,2,2,0,FALSE,,
611,3,3,2,TRUE,2,3,3,0,FALSE,,
612,2,2,1,TRUE,1,2,2,0,FALSE,,
613,2,2,1,TRUE,1,2,2,0,FALSE,,
614,2,2,1,TRUE,1,2,2,0,FALSE,,
615,2,2,1,TRUE,1,2,2,0,FALSE,,
616,2,2,1,TRUE,1,2,2,0,FALSE,,
617,2,2,1,TRUE,1,2,2,0,FALSE,,
618,2,2,1,TRUE,1,2,2,0,FALSE,,
619,2,2,1,TRUE,1,2,2,0,FALSE,,
620,2,2,1,TRUE,1,2,2,0,FALSE,,
621,2,2,1,TRUE,1,2,2,0,FALSE,,
622,2,2,1,TRUE,1,2,2,0,FALSE,,
623,2,2,1,TRUE,1,2,2,0,FALSE,,
624,2,2,1,TRUE,1,2,2,0,FALSE,,
625,2,2,1,TRUE,1,2,2,0,FALSE,,
626,2,2,1,TRUE,1,2,2,0,FALSE,,
627,4,4,3,TRUE,3,4,4,0,FALSE,,
628,3,3,2,TRUE,2,3,3,0,FALSE,,
629,7,7,6,TRUE,4,7,7,0,FALSE,,
630,5,5,4,TRUE,4,5,5,0,FALSE,,
631,6,6,5,TRUE,4,6,6,0,FALSE,,
632,4,4,3,TRUE,3,4,4,0,FALSE,,
633,2,2,1,TRUE,1,2,2,0,FALSE,,
634,3,3,2,TRUE,2,3,3,0,FALSE,,
635,2,2,1,TRUE,1,2,2,0,FALSE,,
636,2,2,1,TRUE,1,2,2,0,FALSE,,
637,4,4,3,TRUE,3,4,4,0,FALSE,,
638,2,2,1,TRUE,1,2,2,0,FALSE,,
639,3,3,2,TRUE,2,3,3,0,FALSE,,
640,2,2,1,TRUE,1,2,2,0,FALSE,,
641,2,2,1,TRUE,1,2,2,0,FALSE,,
642,2,2,1,TRUE,1,2,2,0,FALSE,,
643,2,2,1,TRUE,1,2,2,0,FALSE,,
644,2,2,1,TRUE,1,2,2,0,FALSE,,
645,3,3,2,TRUE,2,2,2,0,FALSE,,
646,2,2,1,TRUE,1,3,3,0,FALSE,,
647,2,2,1,TRUE,1,2,2,0,FALSE,,
648,2,2,1,TRUE,1,2,2,0,FALSE,,
649,2,2,1,TRUE,1,2,2,0,FALSE,,
650,3,3,2,TRUE,2,2,2,0,FALSE,,
651,2,2,1,TRUE,1,3,3,0,FALSE,,
652,2,2,1,TRUE,1,2,2,0,FALSE,,
653,2,2,1,TRUE,1,2,2,0,FALSE,,
654,2,2,1,TRUE,1,2,2,0,FALSE,,
655,2,2,1,TRUE,1,2,2,0,FALSE,,
656,4,4,3,TRUE,3,4,4,0,FALSE,,
657,3,3,2,TRUE,2,3,3,0,FALSE,,
658,3,3,2,TRUE,2,3,3,0,FALSE,,
659,2,2,1,TRUE,1,2,2,0,FALSE,,
660,2,2,1,TRUE,1,2,2,0,FALSE,,
661,2,2,1,TRUE,1,2,2,0,FALSE,,
662,2,2,1,TRUE,1,2,2,0,FALSE,,
663,2,2,1,TRUE,1,2,2,0,FALSE,,
664,2,2,1,TRUE,1,2,2,0,FALSE,,
665,2,2,1,TRUE,1,2,2,0,FALSE,,
666,2,2,1,TRUE,1,2,2,0,FALSE,,
667,2,2,1,TRUE,1,2,2,0,FALSE,,
668,2,2,1,TRUE,1,2,2,0,FALSE,,
669,2,2,1,TRUE,1,2,2,0,FALSE,,
670,2,2,1,TRUE,1,2,2,0,FALSE,,
671,2,2,1,TRUE,1,2,2,0,FALSE,,
672,2,2,1,TRUE,1,2,2,0,FALSE,,
673,2,2,1,TRUE,1,2,2,0,FALSE,,
674,2,2,1,TRUE,1,2,2,0,FALSE,,
675,2,2,1,TRUE,1,2,2,0,FALSE,,
676,2,2,1,TRUE,1,2,2,0,FALSE,,
677,2,2,1,TRUE,1,2,2,0,FALSE,,
678,2,2,1,TRUE,1,2,2,0,FALSE,,
679,4,4,3,TRUE,3,4,4,0,FALSE,,
680,3,3,2,TRUE,2,3,3,0,FALSE,,
681,3,3,2,TRUE,2,3,3,0,FALSE,,
682,2,2,1,TRUE,1,2,2,0,FALSE,,
683,2,2,1,TRUE,1,2,2,0,FALSE,,
684,3,3,2,TRUE,2,3,3,0,FALSE,,
685,2,2,1,TRUE,1,2,2,0,FALSE,,
686,2,2,1,TRUE,1,2,2,0,FALSE,,
687,2,2,1,TRUE,1,2,2,0,FALSE,,
688,2,2,1,TRUE,1,2,2,0,FALSE,,
689,2,2,1,TRUE,1,2,2,0,FALSE,,
690,2,2,1,TRUE,1,2,2,0,FALSE,,
691,2,2,1,TRUE,1,2,2,0,FALSE,,
692,2,2,1,TRUE,1,2,2,0,FALSE,,
693,2,2,1,TRUE,1,2,2,0,FALSE,,
694,2,2,1,TRUE,1,2,2,0,FALSE,,
695,4,4,3,TRUE,3,4,4,0,FALSE,,
696,3,3,2,TRUE,2,3,3,0,FALSE,,
697,3,3,2,TRUE,2,3,3,0,FALSE,,
698,3,3,2,TRUE,2,3,3,0,FALSE,,
699,2,2,1,TRUE,1,2,2,0,FALSE,,
700,2,2,1,TRUE,1,2,2,0,FALSE,,
701,4,4,3,TRUE,3,4,4,0,FALSE,,
702,3,3,2,TRUE,2,3,3,0,FALSE,,
703,3,3,2,TRUE,2,3,3,0,FALSE,,
704,2,2,1,TRUE,1,2,2,0,FALSE,,
705,2,2,1,TRUE,1,2,2,0,FALSE,,
706,2,2,1,TRUE,1,2,2,0,FALSE,,
707,2,2,1,TRUE,1,2,2,0,FALSE,,
708,2,2,1,TRUE,1,2,2,0,FALSE,,
709,2,2,1,TRUE,1,2,2,0,FALSE,,
710,2,2,1,TRUE,1,2,2,0,FALSE,,
711,2,2,1,TRUE,1,2,2,0,FALSE,,
712,2,2,1,TRUE,1,2,2,0,FALSE,,
713,2,2,1,TRUE,1,2,2,0,FALSE,,
714,2,2,1,TRUE,1,2,2,0,FALSE,,
715,2,2,1,TRUE,1,2,2,0,FALSE,,
716,2,2,1,TRUE,1,2,2,0,FALSE,,
717,2,2,1,TRUE,1,2,2,0,FALSE,,
718,2,2,1,TRUE,1,2,2,0,FALSE,,
719,2,2,1,TRUE,1,2,2,0,FALSE,,
720,2,2,1,TRUE,1,2,2,0,FALSE,,
721,2,2,1,TRUE,1,2,2,0,FALSE,,
722,2,2,1,TRUE,1,2,2,0,FALSE,,
723,2,2,1,TRUE,1,2,2,0,FALSE,,
724,2,2,1,TRUE,1,2,2,0,FALSE,,
725,4,4,3,TRUE,3,4,4,0,FALSE,,
726,3,3,2,TRUE,2,3,3,0,FALSE,,
727,3,3,2,TRUE,2,3,3,0,FALSE,,
728,3,3,2,TRUE,2,3,3,0,FALSE,,
729,3,3,2,TRUE,2,3,3,0,FALSE,,
730,3,3,2,TRUE,2,3,3,0,FALSE,,
731,3,3,2,TRUE,2,3,3,0,FALSE,,
732,3,3,2,TRUE,2,3,3,0,FALSE,,
733,5,5,4,TRUE,4,5,5,0,FALSE,,
734,3,3,2,TRUE,2,3,3,0,FALSE,,
735,3,3,2,TRUE,2,3,3,0,FALSE,,
736,3,3,2,TRUE,2,3,3,0,FALSE,,
737,2,2,1,TRUE,1,2,2,0,FALSE,,
738,2,2,1,TRUE,1,2,2,0,FALSE,,
739,3,3,2,TRUE,2,3,3,0,FALSE,,
740,2,2,1,TRUE,1,2,2,0,FALSE,,
741,2,2,1,TRUE,1,2,2,0,FALSE,,
742,2,2,1,TRUE,1,2,2,0,FALSE,,
743,2,2,1,TRUE,1,2,2,0,FALSE,,
744,2,2,1,TRUE,1,2,2,0,FALSE,,
745,2,2,1,TRUE,1,2,2,0,FALSE,,
746,2,2,1,TRUE,1,2,2,0,FALSE,,
747,2,2,1,TRUE,1,2,2,0,FALSE,,
748,2,2,1,TRUE,1,2,2,0,FALSE,,
749,3,3,2,TRUE,2,2,2,0,FALSE,,
750,2,2,1,TRUE,1,3,3,0,FALSE,,
751,2,2,1,TRUE,1,2,2,0,FALSE,,
752,2,2,1,TRUE,1,2,2,0,FALSE,,
753,2,2,1,TRUE,1,2,2,0,FALSE,,
754,2,2,1,TRUE,1,2,2,0,FALSE,,
755,2,2,1,TRUE,1,2,2,0,FALSE,,
756,2,2,1,TRUE,1,2,2,0,FALSE,,
757,2,2,1,TRUE,1,2,2,0,FALSE,,
758,2,2,1,TRUE,1,2,2,0,FALSE,,
759,2,2,1,TRUE,1,2,2,0,FALSE,,
760,2,2,1,TRUE,1,2,2,0,FALSE,,
761,2,2,1,TRUE,1,2,2,0,FALSE,,
762,2,2,1,TRUE,1,2,2,0,FALSE,,
763,2,2,1,TRUE,1,2,2,0,FALSE,,
764,2,2,1,TRUE,1,2,2,0,FALSE,,
765,2,2,1,TRUE,1,2,2,0,FALSE,,
766,2,2,1,TRUE,1,2,2,0,FALSE,,
767,3,3,2,TRUE,2,3,3,0,FALSE,,
768,2,2,1,TRUE,1,2,2,0,FALSE,,
769,2,2,1,TRUE,1,2,2,0,FALSE,,
770,2,2,1,TRUE,1,2,2,0,FALSE,,
771,2,2,1,TRUE,1,2,2,0,FALSE,,
772,3,3,2,TRUE,2,3,3,0,FALSE,,
773,3,3,2,TRUE,2,3,3,0,FALSE,,
774,3,3,2,TRUE,2,3,3,0,FALSE,,
775,2,2,1,TRUE,1,2,2,0,FALSE,,
776,2,2,1,TRUE,1,2,2,0,FALSE,,
777,4,4,3,TRUE,3,4,4,0,FALSE,,
778,3,3,2,TRUE,2,3,3,0,FALSE,,
779,3,3,2,TRUE,2,3,3,0,FALSE,,
780,2,2,1,TRUE,1,2,2,0,FALSE,,
781,2,2,1,TRUE,1,2,2,0,FALSE,,
782,2,2,1,TRUE,1,2,2,0,FALSE,,
783,2,2,1,TRUE,1,2,2,0,FALSE,,
784,2,2,1,TRUE,1,2,2,0,FALSE,,
785,2,2,1,TRUE,1,2,2,0,FALSE,,
786,2,2,1,TRUE,1,2,2,0,FALSE,,
787,2,2,1,TRUE,1,2,2,0,FALSE,,
788,2,2,1,TRUE,1,2,2,0,FALSE,,
789,2,2,1,TRUE,1,2,2,0,FALSE,,
790,2,2,1,TRUE,1,2,2,0,FALSE,,
791,2,2,1,TRUE,1,2,2,0,FALSE,,
792,2,2,1,TRUE,1,2,2,0,FALSE,,
793,2,2,1,TRUE,1,2,2,0,FALSE,,
794,2,2,1,TRUE,1,2,2,0,FALSE,,
795,2,2,1,TRUE,1,2,2,0,FALSE,,
796,2,2,1,TRUE,1,2,2,0,FALSE,,
797,2,2,1,TRUE,1,2,2,0,FALSE,,
798,2,2,1,TRUE,1,2,2,0,FALSE,,
799,2,2,1,TRUE,1,2,2,0,FALSE,,
800,2,2,1,TRUE,1,2,2,0,FALSE,,
801,2,2,1,TRUE,1,2,2,0,FALSE,,
802,2,2,1,TRUE,1,2,2,0,FALSE,,
803,2,2,1,TRUE,1,2,2,0,FALSE,,
804,4,4,3,TRUE,3,4,4,0,FALSE,,
805,3,3,2,TRUE,2,3,3,0,FALSE,,
806,3,3,2,TRUE,2,3,3,0,FALSE,,
807,2,2,1,TRUE,1,2,2,0,FALSE,,
808,2,2,1,TRUE,1,2,2,0,FALSE,,
809,2,2,1,TRUE,1,2,2,0,FALSE,,
810,2,2,1,TRUE,1,2,2,0,FALSE,,
811,2,2,1,TRUE,1,2,2,0,FALSE,,
812,2,2,1,TRUE,1,2,2,0,FALSE,,
813,2,2,1,TRUE,1,2,2,0,FALSE,,
814,2,2,1,TRUE,1,2,2,0,FALSE,,
815,2,2,1,TRUE,1,2,2,0,FALSE,,
816,2,2,1,TRUE,1,2,2,0,FALSE,,
817,2,2,1,TRUE,1,2,2,0,FALSE,,
818,2,2,1,TRUE,1,2,2,0,FALSE,,
819,2,2,1,TRUE,1,2,2,0,FALSE,,
820,2,2,1,TRUE,1,2,2,0,FALSE,,
821,2,2,1,TRUE,1,2,2,0,FALSE,,
822,2,2,1,TRUE,1,2,2,0,FALSE,,
823,2,2,1,TRUE,1,2,2,0,FALSE,,
824,2,2,1,TRUE,1,2,2,0,FALSE,,
825,2,2,1,TRUE,1,2,2,0,FALSE,,
826,2,2,1,TRUE,1,2,2,0,FALSE,,
827,2,2,1,TRUE,1,2,2,0,FALSE,,
828,2,2,1,TRUE,1,2,2,0,FALSE,,
829,2,2,1,TRUE,1,2,2,0,FALSE,,
830,2,2,1,TRUE,1,2,2,0,FALSE,,
831,2,2,1,TRUE,1,2,2,0,FALSE,,
832,2,2,1,TRUE,1,2,2,0,FALSE,,
833,2,2,1,TRUE,1,2,2,0,FALSE,,
834,2,2,1,TRUE,1,2,2,0,FALSE,,
835,3,3,2,TRUE,2,3,3,0,FALSE,,
836,4,4,3,TRUE,3,4,4,0,FALSE,,
837,3,3,2,TRUE,2,3,3,0,FALSE,,
838,3,3,2,TRUE,2,3,3,0,FALSE,,
839,2,2,1,TRUE,1,2,2,0,FALSE,,
840,2,2,1,TRUE,1,2,2,0,FALSE,,
841,2,2,1,TRUE,1,2,2,0,FALSE,,
842,3,3,2,TRUE,2,3,3,0,FALSE,,
843,2,2,1,TRUE,1,2,2,0,FALSE,,
844,2,2,1,TRUE,1,2,2,0,FALSE,,
845,2,2,1,TRUE,1,2,2,0,FALSE,,
846,2,2,1,TRUE,1,2,2,0,FALSE,,
847,2,2,1,TRUE,1,2,2,0,FALSE,,
848,2,2,1,TRUE,1,2,2,0,FALSE,,
849,2,2,1,TRUE,1,2,2,0,FALSE,,
850,2,2,1,TRUE,1,2,2,0,FALSE,,
851,2,2,1,TRUE,1,2,2,0,FALSE,,
852,2,2,1,TRUE,1,2,2,0,FALSE,,
853,2,2,1,TRUE,1,2,2,0,FALSE,,
854,2,2,1,TRUE,1,2,2,0,FALSE,,
855,2,2,1,TRUE,1,2,2,0,FALSE,,
856,2,2,1,TRUE,1,2,2,0,FALSE,,
857,2,2,1,TRUE,1,2,2,0,FALSE,,
858,2,2,1,TRUE,1,2,2,0,FALSE,,
859,4,4,3,TRUE,3,4,4,0,FALSE,,
860,3,3,2,TRUE,2,3,3,0,FALSE,,
861,3,3,2,TRUE,2,3,3,0,FALSE,,
862,3,3,2,TRUE,2,3,3,0,FALSE,,
863,3,3,2,TRUE,2,3,3,0,FALSE,,
864,2,2,1,TRUE,1,2,2,0,FALSE,,
865,2,2,1,TRUE,1,2,2,0,FALSE,,
866,4,4,3,TRUE,3,4,4,0,FALSE,,
867,3,3,2,TRUE,2,3,3,0,FALSE,,
868,3,3,2,TRUE,2,3,3,0,FALSE,,
869,2,2,1,TRUE,1,2,2,0,FALSE,,
870,2,2,1,TRUE,1,2,2,0,FALSE,,
871,2,2,1,TRUE,1,2,2,0,FALSE,,
872,3,3,2,TRUE,2,3,3,0,FALSE,,
873,2,2,1,TRUE,1,2,2,0,FALSE,,
874,2,2,1,TRUE,1,2,2,0,FALSE,,
875,2,2,1,TRUE,1,2,2,0,FALSE,,
876,2,2,1,TRUE,1,2,2,0,FALSE,,
877,2,2,1,TRUE,1,2,2,0,FALSE,,
878,2,2,1,TRUE,1,2,2,0,FALSE,,
879,2,2,1,TRUE,1,2,2,0,FALSE,,
880,2,2,1,TRUE,1,2,2,0,FALSE,,
881,2,2,1,TRUE,1,2,2,0,FALSE,,
882,3,3,2,TRUE,2,3,3,0,FALSE,,
883,4,4,3,TRUE,3,4,4,0,FALSE,,
884,3,3,2,TRUE,2,3,3,0,FALSE,,
885,3,3,2,TRUE,2,3,3,0,FALSE,,
886,5,5,4,TRUE,4,5,5,0,FALSE,,
887,3,3,2,TRUE,2,3,3,0,FALSE,,
888,2,2,1,TRUE,1,2,2,0,FALSE,,
889,2,2,1,TRUE,1,2,2,0,FALSE,,
890,2,2,1,TRUE,1,2,2,0,FALSE,,
891,2,2,1,TRUE,1,2,2,0,FALSE,,
892,2,2,1,TRUE,1,2,2,0,FALSE,,
893,2,2,1,TRUE,1,2,2,0,FALSE,,
894,2,2,1,TRUE,1,2,2,0,FALSE,,
895,2,2,1,TRUE,1,2,2,0,FALSE,,
896,2,2,1,TRUE,1,2,2,0,FALSE,,
897,2,2,1,TRUE,1,2,2,0,FALSE,,
898,2,2,1,TRUE,1,2,2,0,FALSE,,
899,2,2,1,TRUE,1,2,2,0,FALSE,,
900,2,2,1,TRUE,1,2,2,0,FALSE,,
901,2,2,1,TRUE,1,2,2,0,FALSE,,
902,2,2,1,TRUE,1,2,2,0,FALSE,,
903,3,3,2,TRUE,2,3,3,0,FALSE,,
904,2,2,1,TRUE,1,2,2,0,FALSE,,
905,2,2,1,TRUE,1,2,2,0,FALSE,,
906,3,3,2,TRUE,2,3,3,0,FALSE,,
907,2,2,1,TRUE,1,2,2,0,FALSE,,
908,4,4,3,TRUE,3,4,4,0,FALSE,,
909,4,4,3,TRUE,3,2,2,0,FALSE,,
910,2,2,1,TRUE,1,4,4,0,FALSE,,
911,3,3,2,TRUE,2,3,3,0,FALSE,,
912,2,2,1,TRUE,1,2,2,0,FALSE,,
913,2,2,1,TRUE,1,2,2,0,FALSE,,
914,2,2,1,TRUE,1,2,2,0,FALSE,,
915,2,2,1,TRUE,1,2,2,0,FALSE,,
916,2,2,1,TRUE,1,2,2,0,FALSE,,
917,2,2,1,TRUE,1,2,2,0,FALSE,,
918,2,2,1,TRUE,1,2,2,0,FALSE,,
919,2,2,1,TRUE,1,2,2,0,FALSE,,
920,3,3,2,TRUE,2,3,3,0,FALSE,,
921,2,2,1,TRUE,1,2,2,0,FALSE,,
922,2,2,1,TRUE,1,2,2,0,FALSE,,
923,2,2,1,TRUE,1,2,2,0,FALSE,,
924,2,2,1,TRUE,1,2,2,0,FALSE,,
925,2,2,1,TRUE,1,2,2,0,FALSE,,
926,2,2,1,TRUE,1,2,2,0,FALSE,,
927,2,2,1,TRUE,1,2,2,0,FALSE,,
928,2,2,1,TRUE,1,2,2,0,FALSE,,
929,4,4,3,TRUE,3,4,4,0,FALSE,,
930,3,3,2,TRUE,2,3,3,0,FALSE,,
931,3,3,2,TRUE,2,3,3,0,FALSE,,
932,2,2,1,TRUE,1,2,2,0,FALSE,,
933,3,3,2,TRUE,2,2,2,0,FALSE,,
934,2,2,1,TRUE,1,3,3,0,FALSE,,
935,2,2,1,TRUE,1,2,2,0,FALSE,,
936,2,2,1,TRUE,1,2,2,0,FALSE,,
937,2,2,1,TRUE,1,2,2,0,FALSE,,
938,2,2,1,TRUE,1,2,2,0,FALSE,,
939,2,2,1,TRUE,1,2,2,0,FALSE,,
940,2,2,1,TRUE,1,2,2,0,FALSE,,
941,3,3,2,TRUE,2,3,3,0,FALSE,,
942,4,4,3,TRUE,3,4,4,0,FALSE,,
943,3,3,2,TRUE,2,3,3,0,FALSE,,
944,3,3,2,TRUE,2,3,3,0,FALSE,,
945,2,2,1,TRUE,1,2,2,0,FALSE,,
946,2,2,1,TRUE,1,2,2,0,FALSE,,
947,2,2,1,TRUE,1,2,2,0,FALSE,,
948,2,2,1,TRUE,1,2,2,0,FALSE,,
949,4,4,3,TRUE,3,4,4,0,FALSE,,
950,3,3,2,TRUE,2,3,3,0,FALSE,,
951,3,3,2,TRUE,2,3,3,0,FALSE,,
952,2,2,1,TRUE,1,2,2,0,FALSE,,
953,2,2,1,TRUE,1,2,2,0,FALSE,,
954,2,2,1,TRUE,1,2,2,0,FALSE,,
955,3,3,2,TRUE,2,3,3,0,FALSE,,
956,2,2,1,TRUE,1,2,2,0,FALSE,,
957,2,2,1,TRUE,1,2,2,0,FALSE,,
958,2,2,1,TRUE,1,2,2,0,FALSE,,
959,2,2,1,TRUE,1,2,2,0,FALSE,,
960,2,2,1,TRUE,1,2,2,0,FALSE,,
961,2,2,1,TRUE,1,2,2,0,FALSE,,
962,2,2,1,TRUE,1,2,2,0,FALSE,,
963,2,2,1,TRUE,1,2,2,0,FALSE,,
